State, parcel, n, m, num_minority_districts, s, feasible/infeasible/unknown, time 
NJ,tract,2181,6061,1,12,Unknown,timeout 
,,,,1,13,Unknown,timeout 
IL,tract,3265,8728,3,13,Infeasible,84.24
,,,,3,14,Infeasible,115.56
,,,,3,15,Infeasible,154.91
,,,,3,16,Unknown,timeout 
,,,,3,17,Unknown,timeout 
IL,tract,3265,8728,2,13,Unknown,timeout 
,,,,2,14,Unknown,timeout 
IL,tract,3265,8728,1,13,Unknown,timeout 
,,,,1,14,Unknown,timeout 
TX,tract,6896,18554,3,12,Infeasible,0.07
,,,,3,13,Infeasible,0.07
,,,,3,14,Infeasible,0.07
,,,,3,15,Infeasible,0.07
,,,,3,16,Infeasible,0.07
,,,,3,17,Infeasible,626.17
,,,,3,18,Unknown,timeout 
,,,,3,19,Unknown,timeout 
TX,tract,6896,18554,2,12,Infeasible,0.08
,,,,2,13,Infeasible,0.08
,,,,2,14,Infeasible,0.07
,,,,2,15,Infeasible,0.07
,,,,2,16,Infeasible,0.07
,,,,2,17,Infeasible,655.65
,,,,2,18,Unknown,timeout 
,,,,2,19,Unknown,timeout 
TX,tract,6896,18554,1,12,Infeasible,0.06
,,,,1,13,Infeasible,0.07
,,,,1,14,Infeasible,0.07
,,,,1,15,Infeasible,0.06
,,,,1,16,Infeasible,0.07
,,,,1,17,Unknown,timeout 
,,,,1,18,Unknown,timeout 
MS,county,82,202,1,6,Feasible,2.95
MS,tract,878,2378,2,15,Unknown,timeout 
,,,,2,16,Unknown,timeout 
MS,county,82,202,1,6,Feasible,3.18
MS,tract,878,2378,2,15,Unknown,timeout 
,,,,2,16,Unknown,timeout 
MS,tract,878,2378,1,15,Unknown,timeout 
,,,,1,16,Unknown,timeout 
LA,tract,1388,3861,3,14,Infeasible,11.40
,,,,3,15,Infeasible,12.40
,,,,3,16,Unknown,timeout 
,,,,3,17,Unknown,timeout 
LA,tract,1388,3861,2,14,Unknown,timeout 
,,,,2,15,Unknown,timeout 
LA,tract,1388,3861,1,14,Unknown,timeout 
,,,,1,15,Unknown,timeout 
SC,tract,1323,3677,2,13,Infeasible,7.07
,,,,2,14,Infeasible,14.18
,,,,2,15,Infeasible,18.30
,,,,2,16,Unknown,timeout 
,,,,2,17,Unknown,timeout 
SC,tract,1323,3677,1,13,Unknown,timeout 
,,,,1,14,Unknown,timeout 
AL,tract,1437,4014,2,14,Infeasible,26.90
,,,,2,15,Unknown,timeout 
,,,,2,16,Unknown,timeout 
AL,tract,1437,4014,1,14,Infeasible,486.02
,,,,1,15,Unknown,timeout 
,,,,1,16,Unknown,timeout 
MD,tract,1475,3993,4,14,Unknown,timeout 
,,,,4,15,Unknown,timeout 
MD,tract,1475,3993,3,14,Unknown,timeout 
,,,,3,15,Unknown,timeout 
MD,tract,1475,3993,2,14,Unknown,timeout 
,,,,2,15,Unknown,timeout 
MD,tract,1475,3993,1,14,Unknown,timeout 
,,,,1,15,Unknown,timeout 
MO,tract,1654,4488,1,14,Infeasible,0.01
,,,,1,15,Infeasible,0.00
,,,,1,16,Infeasible,0.00
,,,,1,17,Infeasible,0.01
,,,,1,18,Infeasible,0.00
,,,,1,19,Infeasible,0.00
,,,,1,20,Infeasible,0.00
,,,,1,21,Infeasible,0.00
,,,,1,22,Infeasible,0.00
,,,,1,23,Infeasible,0.00
,,,,1,24,Infeasible,0.00
,,,,1,25,Infeasible,0.00
,,,,1,26,Infeasible,0.00
,,,,1,27,Infeasible,0.00
,,,,1,28,Unknown,timeout 
,,,,1,29,Unknown,timeout 
TN,tract,1701,4691,2,14,Infeasible,0.06
,,,,2,15,Infeasible,0.11
,,,,2,16,Infeasible,0.07
,,,,2,17,Infeasible,0.07
,,,,2,18,Infeasible,0.09
,,,,2,19,Infeasible,0.10
,,,,2,20,Infeasible,0.12
,,,,2,21,Infeasible,0.18
,,,,2,22,Infeasible,0.29
,,,,2,23,Infeasible,0.50
,,,,2,24,Infeasible,0.63
,,,,2,25,Infeasible,0.92
,,,,2,26,Infeasible,1.08
,,,,2,27,Infeasible,0.97
,,,,2,28,Infeasible,0.72
,,,,2,29,Infeasible,0.62
,,,,2,30,Infeasible,0.56
,,,,2,31,Infeasible,0.53
,,,,2,32,Infeasible,0.60
,,,,2,33,Unknown,timeout 
,,,,2,34,Unknown,timeout 
TN,tract,1701,4691,1,14,Unknown,timeout 
,,,,1,15,Unknown,timeout 
VA,tract,2198,6064,2,13,Infeasible,7.63
,,,,2,14,Infeasible,8.84
,,,,2,15,Infeasible,15.71
,,,,2,16,Infeasible,15.93
,,,,2,17,Infeasible,21.76
,,,,2,18,Infeasible,20.79
,,,,2,19,Infeasible,19.55
,,,,2,20,Infeasible,24.17
,,,,2,21,Infeasible,38.22
,,,,2,22,Unknown,timeout 
,,,,2,23,Unknown,timeout 
VA,tract,2198,6064,1,13,Unknown,timeout 
,,,,1,14,Unknown,timeout 
NJ,tract,2181,6061,1,12,Infeasible,3558.02
,,,,1,13,Unknown,timeout 
,,,,1,14,Unknown,timeout 
MI,tract,3017,7989,2,14,Infeasible,0.01
,,,,2,15,Infeasible,0.73
,,,,2,16,Infeasible,48.88
,,,,2,17,Unknown,timeout 
,,,,2,18,Unknown,timeout 
MI,tract,3017,7989,1,14,Infeasible,0.01
,,,,1,15,Unknown,timeout 
,,,,1,16,Unknown,timeout 
NC,tract,2672,7422,3,13,Infeasible,0.01
,,,,3,14,Infeasible,0.01
,,,,3,15,Infeasible,0.01
,,,,3,16,Infeasible,1.93
,,,,3,17,Infeasible,6.81
,,,,3,18,Infeasible,140.96
,,,,3,19,Infeasible,229.00
,,,,3,20,Infeasible,255.55
,,,,3,21,Infeasible,264.79
,,,,3,22,Infeasible,281.06
,,,,3,23,Infeasible,293.11
,,,,3,24,Infeasible,299.19
,,,,3,25,Unknown,timeout 
,,,,3,26,Unknown,timeout 
NC,tract,2672,7422,2,13,Infeasible,0.01
,,,,2,14,Infeasible,0.01
,,,,2,15,Infeasible,0.01
,,,,2,16,Infeasible,1.88
,,,,2,17,Infeasible,7.20
,,,,2,18,Unknown,timeout 
,,,,2,19,Unknown,timeout 
NC,tract,2672,7422,1,13,Infeasible,0.01
,,,,1,14,Infeasible,0.01
,,,,1,15,Infeasible,0.01
,,,,1,16,Infeasible,1.73
,,,,1,17,Unknown,timeout 
,,,,1,18,Unknown,timeout 
GA,tract,2796,7762,7,14,Infeasible,537.22
,,,,7,15,Infeasible,695.92
,,,,7,16,Unknown,timeout 
,,,,7,17,Unknown,timeout 
GA,tract,2796,7762,6,14,Unknown,timeout 
,,,,6,15,Unknown,timeout 
GA,tract,2796,7762,5,14,Unknown,timeout 
,,,,5,15,Unknown,timeout 
GA,tract,2796,7762,4,14,Unknown,timeout 
,,,,4,15,Unknown,timeout 
OH,tract,3168,8747,2,13,Infeasible,0.01
,,,,2,14,Infeasible,0.01
,,,,2,15,Infeasible,0.01
,,,,2,16,Infeasible,0.01
,,,,2,17,Infeasible,0.01
,,,,2,18,Infeasible,0.18
,,,,2,19,Infeasible,1.37
,,,,2,20,Infeasible,6.80
,,,,2,21,Infeasible,10.11
,,,,2,22,Infeasible,8.49
,,,,2,23,Infeasible,16.35
,,,,2,24,Infeasible,7.10
,,,,2,25,Infeasible,11.77
,,,,2,26,Unknown,timeout 
,,,,2,27,Unknown,timeout 
OH,tract,3168,8747,1,13,Infeasible,0.01
,,,,1,14,Infeasible,0.02
,,,,1,15,Infeasible,0.01
,,,,1,16,Infeasible,0.01
,,,,1,17,Infeasible,0.01
,,,,1,18,Infeasible,156.09
,,,,1,19,Unknown,timeout 
,,,,1,20,Unknown,timeout 
