State, parcel, lower_bound_s, iterations, time
NM, county, 4, 2, 0.01,, 
NJ, tract, 12, 6, 102.49,, 
NM, tract, 12, 3, 4.89,, 
CO, tract, 11, 4, 39.74,, 
IL, tract, 13, 6, 248.05,, 
AZ, tract, 12, 4, 63.30,, 
DE, county, 2, 0, 0.00,, 
WV, county, 11, 1, 0.01,, 
SD, county, 10, 0, 0.00,, 
WY, county, 5, 0, 0.00,, 
NM, county, 4, 4, 0.02,, 
LA, county, 4, 3, 0.04,, 
ND, county, 9, 0, 0.00,, 
NE, county, 8, 3, 0.11,, 
NH, county, 2, 1, 0.00,, 
AL, county, 3, 4, 0.05,, 
AR, county, 5, 3, 0.06,, 
VT, county, 4, 0, 0.00,, 
IA, county, 7, 3, 0.10,, 
ID, county, 7, 2, 0.02,, 
ME, county, 3, 2, 0.00,, 
KS, county, 6, 4, 0.14,, 
MT, county, 6, 2, 0.02,, 
MS, county, 6, 3, 0.08,, 
SC, county, 3, 3, 0.02,, 
WA, tract, 11, 4, 57.29,, 
DE, tract, 14, 0, 0.00,, 
WV, tract, 26, 3, 3.81,, 
SD, tract, 17, 0, 0.00,, 
NJ, tract, 12, 6, 102.74,, 
NM, tract, 12, 3, 4.94,, 
TX, tract, 12, 6, 1381.30,, 